id,name,blurb,types
51772,Adam J Wojciak,,"Person,Lobbyist"
18524,Alexander Beckles,,"Person,Lobbyist"
16898,Alexander Sternhell,,"Person,Lobbyist"
51779,Alisa Ferguson,Lobbyist and former Congressional aide,Person
16467,Amy Swonger,Former Staffer for Mitch McConnell,"Person,Lobbyist"
41269,Andrew H Barbour,Former Staffer to Reps. Bart Stupak and William D Ford/ Lobbys For Bank of America,"Person,Lobbyist"
52555,Andrew Lewin,Lobbyist at Podesta Group,Person
19034,Andrew Lowenthal,,"Person,Lobbyist"
51780,Andy Davis,"Lobbyist for McBee Strategic Consulting, Former Director of Communications for Senate Commerce Committee","Person,Lobbyist"
51781,Angela Becker-Dippmann,,Person
16459,Anne Phelps,,"Person,Lobbyist"
21188,Ashley Slater,Lobbyist at McBee; former staffer to Jennifer Dunn,"Person,Lobbyist"
27834,Barry Lasala,Lobbyist and former aide to Senator John Kerry,"Person,Lobbyist"
15876,Beau Schuyler,,"Person,Lobbyist"
16897,Ben Dupuy,,"Person,Lobbyist"
22858,Brant Imperatore,Lobbyist at Cypress Group,"Person,Lobbyist"
19036,Brendon Weiss,,"Person,Lobbyist"
16074,Brian Griffin,Duberstein Group lobbyist; former Honeywell lobbyist and aide to Byron Dorgan,"Person,Lobbyist"
16686,Broderick Johnson,Lobbyist,"Person,Lobbyist"
18595,Carmencita Whonder,lobbyist,"Person,Lobbyist"
46279,Carter McDowell,"Financial Services lobbyist, Ex-House Financial Services Committee Staff","Person,Lobbyist,Public Official"
48028,Carter Phillips,"Chair of Executive Committee and Partner, Sidley Austin LLP","Person,Lawyer"
18449,Casey Sixkiller,Lobbyist at McBee; former staffer to Patty Murray and Jim McDermott,"Person,Lobbyist"
34676,Charles M Brain,,"Person,Lobbyist"
16779,Christine Burgeson,"SVP - Government Affairs, Airlines For America","Person,Lobbyist"
15808,Christine L Vaughn,,"Person,Lobbyist"
18728,Christopher Hatcher,lobbyist at Williams & Jensen,"Person,Lobbyist"
25901,Christopher Javens,,"Person,Lobbyist"
52162,Cristeena Naser,American Bankers Association lobbyist; former FDIC lawyer,Person
17888,Cristina Antelo,Lobbyist and former finance executive,"Person,Lobbyist"
19177,Daniel Archer,Chief lobbyist for Wells Fargo,"Person,Lobbyist"
25670,Daniel Kohns,,"Person,Lobbyist"
16070,Daniel Meyer,Duberstein Group lobbyist; liaison to the House for Bush II; former Gingrich chief of staff,"Person,Lobbyist"
19479,David Crane,Lobbyist and Senior Policy Advisor for John McCain,"Person,Lobbyist"
17525,David E Franasiak,,"Person,Lobbyist"
16458,David H. Koshgarian,Lobbyist and former Chief of Staff for Ben Cardin,"Person,Lobbyist"
20208,David Horne,Lobbyist and former chief of staff to Rick Lazio,"Person,Lobbyist"
16087,David M Landers,,"Person,Lobbyist"
19586,David Russell,,"Person,Lobbyist"
17528,David Starr,,"Person,Lobbyist"
17992,David W. Jones,,"Person,Lobbyist"
19035,Dawn Callaghan,,"Person,Lobbyist"
52769,Dean R Sackett III,Former Staff Member to Rep. Bob Livingston.,"Person,Lobbyist"
13770,Dick Gephardt,US Representative from Missouri,"Person,Elected Representative,Political Candidate,Lobbyist,Business Person"
